Wall time,Step,Value
1495138421.9328365,17600,1.6033649444580078e-05
1495138500.3974812,17800,2.9146671295166016e-05
1495138781.1493335,18000,4.2319297790527344e-05
1495138870.3466313,18200,3.814697265625e-05
1495138948.8519795,18400,8.273124694824219e-05
1495139028.7296522,18600,1.4066696166992188e-05
1495139107.4249034,18800,3.713369369506836e-05
1495139388.4124794,19000,3.504753112792969e-05
1495139477.7696598,19200,2.1636486053466797e-05
1495139557.0414803,19400,3.248453140258789e-05
1495139636.065762,19600,4.649162292480469e-05
1495139714.735156,19800,1.9669532775878906e-05
1495140705.21001,20000,3.5881996154785156e-05
1495140804.7205036,20200,3.510713577270508e-05
1495140886.4952095,20400,5.40614128112793e-05
1495140977.5850987,20600,3.165006637573242e-05
1495141059.4543145,20800,2.777576446533203e-05
1495141346.9066887,21000,4.655122756958008e-05
1495141448.7371173,21200,2.8967857360839844e-05
1495141532.0772705,21400,6.35981559753418e-05
1495141615.4709864,21600,4.7266483306884766e-05
1495141704.1563098,21800,1.817941665649414e-05
1495141989.8274775,22000,1.4543533325195312e-05
1495142093.8120303,22200,2.014636993408203e-05
1495142178.179055,22400,1.1980533599853516e-05
1495142269.3754838,22600,2.378225326538086e-05
1495142352.9668703,22800,2.4616718292236328e-05
1495142645.1025789,23000,2.0623207092285156e-05
1495142746.5803654,23200,3.844499588012695e-05
1495142830.0231304,23400,3.2782554626464844e-05
1495142920.9097934,23600,4.470348358154297e-05
1495143002.5840385,23800,2.759695053100586e-05
1495143297.7950542,24000,1.4662742614746094e-05
1495143392.6064053,24200,2.104043960571289e-05
1495143484.38977,24400,2.777576446533203e-05
1495143567.9194715,24600,3.8623809814453125e-05
1495143659.5422592,24800,4.6193599700927734e-05
1495143948.4500284,25000,4.363059997558594e-05
1495144044.826715,25200,2.664327621459961e-05
1495144135.0175567,25400,4.2378902435302734e-05
1495144219.1064262,25600,2.0205974578857422e-05
1495144314.6214433,25800,2.7239322662353516e-05
1495144606.1303551,26000,3.1113624572753906e-05
1495144704.4964576,26200,2.5928020477294922e-05
1495144790.3124537,26400,2.7060508728027344e-05
1495144880.7186496,26600,3.331899642944336e-05
1495144964.74828,26800,5.042552947998047e-05
1495145255.2655897,27000,3.266334533691406e-05
1495145350.5765347,27200,2.568960189819336e-05
1495145437.1687734,27400,2.4020671844482422e-05
1495145523.9535887,27600,4.678964614868164e-05
1495145608.3376482,27800,1.817941665649414e-05
1495145911.894379,28000,3.93986701965332e-05
1495146010.419819,28200,5.84721565246582e-05
1495146096.040029,28400,1.6510486602783203e-05
1495146186.9930837,28600,1.2218952178955078e-05
1495146269.9653225,28800,2.1457672119140625e-05
1495146557.4298484,29000,2.956390380859375e-05
1495146654.154813,29200,1.4185905456542969e-05
1495146738.9484737,29400,3.6656856536865234e-05
1495146824.0036538,29600,5.698204040527344e-05
1495146908.5288405,29800,1.4543533325195312e-05
1495147911.09986,30000,3.4689903259277344e-05
1495148020.701236,30200,2.0563602447509766e-05
1495148107.0384998,30400,2.0623207092285156e-05
1495148200.8758008,30600,1.7940998077392578e-05
1495148285.4251673,30800,8.213520050048828e-05
1495148576.476655,31000,5.0067901611328125e-05
1495148674.8911676,31200,2.574920654296875e-05
1495148759.696802,31400,2.6047229766845703e-05
1495148850.3679597,31600,3.886222839355469e-05
1495148934.483594,31800,2.1696090698242188e-05
1495149229.193398,32000,2.2232532501220703e-05
1495149327.612687,32200,2.485513687133789e-05
1495149418.5286179,32400,3.445148468017578e-05
1495149503.9466143,32600,5.626678466796875e-05
1495149593.081702,32800,2.2172927856445312e-05
1495149888.9752614,33000,4.035234451293945e-05
1495149985.8446677,33200,2.4080276489257812e-05
1495150082.7081568,33400,3.2007694244384766e-05
1495150169.5969021,33600,4.7266483306884766e-05
1495150255.7706382,33800,3.719329833984375e-05
1495150552.3016303,34000,3.325939178466797e-05
1495150648.8789966,34200,6.014108657836914e-05
1495150744.0754015,34400,4.082918167114258e-05
1495150829.2650785,34600,4.6193599700927734e-05
1495150913.515196,34800,4.208087921142578e-05
1495151212.6482246,35000,5.2034854888916016e-05
1495151315.0187602,35200,1.7642974853515625e-05
1495151410.9579606,35400,2.5153160095214844e-05
1495151497.6638582,35600,1.3947486877441406e-05
1495151589.207757,35800,2.008676528930664e-05
1495151881.6374493,36000,5.221366882324219e-05
1495151982.4364953,36200,4.398822784423828e-05
1495152069.4379773,36400,2.1219253540039062e-05
1495152155.2233274,36600,5.835294723510742e-05
1495152243.883995,36800,4.649162292480469e-05
